x,y,BoxID,BoxID_rev,Boxsize
100,-42,O01,D01,194
100,-41,O01,D01,194
100,-40,O01,D01,194
100,-39,O01,D01,194
100,-38,O01,D01,194
100,-37,O01,D01,194
100,-36,O01,D01,194
100,-35,O01,D01,194
100,-34,O01,D01,194
100,-33,O01,D01,194
100,-32,O01,D01,194
100,-31,O01,D01,194
100,-30,O01,D01,194
100,-29,O01,D01,194
100,-28,O01,D01,194
100,-27,O01,D01,194
100,-26,O01,D01,194
100,-25,O01,D01,194
100,-24,O01,D01,194
100,-23,O01,D01,194
100,-22,O01,D01,194
100,-21,O01,D01,194
100,-20,O01,D01,194
100,-19,O01,D01,194
100,-18,O01,D01,194
100,-17,O01,D01,194
100,-16,O01,D01,194
100,-15,O01,D01,194
100,-14,O01,D01,194
100,-13,O01,D01,194
100,-12,O02,D02,275
100,-11,O02,D02,275
100,-10,O02,D02,275
100,-9,O02,D02,275
100,-8,O02,D02,275
100,-7,O02,D02,275
100,-6,O02,D02,275
100,-5,O02,D02,275
100,-4,O02,D02,275
100,-3,O02,D02,275
100,-2,O02,D02,275
100,-1,O02,D02,275
100,0,O02,D02,275
100,1,O02,D02,275
100,2,O02,D02,275
100,3,O02,D02,275
100,4,O02,D02,275
100,5,O02,D02,275
100,6,O02,D02,275
100,7,O02,D02,275
100,8,O02,D02,275
100,9,O02,D02,275
100,10,O02,D02,275
100,11,O02,D02,275
100,12,O02,D02,275
100,13,O03,D03,194
100,14,O03,D03,194
100,15,O03,D03,194
100,16,O03,D03,194
100,17,O03,D03,194
100,18,O03,D03,194
100,19,O03,D03,194
100,20,O03,D03,194
100,21,O03,D03,194
100,22,O03,D03,194
100,23,O03,D03,194
100,24,O03,D03,194
100,25,O03,D03,194
100,26,O03,D03,194
100,27,O03,D03,194
100,28,O03,D03,194
100,29,O03,D03,194
100,30,O03,D03,194
100,31,O03,D03,194
100,32,O03,D03,194
100,33,O03,D03,194
100,34,O03,D03,194
100,35,O03,D03,194
100,36,O03,D03,194
100,37,O03,D03,194
100,38,O03,D03,194
100,39,O03,D03,194
100,40,O03,D03,194
100,41,O03,D03,194
100,42,O03,D03,194
99,-42,O01,D01,194
99,-41,O01,D01,194
99,-40,O01,D01,194
99,-39,O01,D01,194
99,-38,O01,D01,194
99,-37,O01,D01,194
99,-36,O01,D01,194
99,-35,O01,D01,194
99,-34,O01,D01,194
99,-33,O01,D01,194
99,-32,O01,D01,194
99,-31,O01,D01,194
99,-30,O01,D01,194
99,-29,O01,D01,194
99,-28,O01,D01,194
99,-27,O01,D01,194
99,-26,O01,D01,194
99,-25,O01,D01,194
99,-24,O01,D01,194
99,-23,O01,D01,194
99,-22,O01,D01,194
99,-21,O01,D01,194
99,-20,O01,D01,194
99,-19,O01,D01,194
99,-18,O01,D01,194
99,-17,O01,D01,194
99,-16,O01,D01,194
99,-15,O01,D01,194
99,-14,O01,D01,194
99,-13,O01,D01,194
99,-12,O02,D02,275
99,-11,O02,D02,275
99,-10,O02,D02,275
99,-9,O02,D02,275
99,-8,O02,D02,275
99,-7,O02,D02,275
99,-6,O02,D02,275
99,-5,O02,D02,275
99,-4,O02,D02,275
99,-3,O02,D02,275
99,-2,O02,D02,275
99,-1,O02,D02,275
99,0,O02,D02,275
99,1,O02,D02,275
99,2,O02,D02,275
99,3,O02,D02,275
99,4,O02,D02,275
99,5,O02,D02,275
99,6,O02,D02,275
99,7,O02,D02,275
99,8,O02,D02,275
99,9,O02,D02,275
99,10,O02,D02,275
99,11,O02,D02,275
99,12,O02,D02,275
99,13,O03,D03,194
99,14,O03,D03,194
99,15,O03,D03,194
99,16,O03,D03,194
99,17,O03,D03,194
99,18,O03,D03,194
99,19,O03,D03,194
99,20,O03,D03,194
99,21,O03,D03,194
99,22,O03,D03,194
99,23,O03,D03,194
99,24,O03,D03,194
99,25,O03,D03,194
99,26,O03,D03,194
99,27,O03,D03,194
99,28,O03,D03,194
99,29,O03,D03,194
99,30,O03,D03,194
99,31,O03,D03,194
99,32,O03,D03,194
99,33,O03,D03,194
99,34,O03,D03,194
99,35,O03,D03,194
99,36,O03,D03,194
99,37,O03,D03,194
99,38,O03,D03,194
99,39,O03,D03,194
99,40,O03,D03,194
99,41,O03,D03,194
99,42,O03,D03,194
98,-42,O01,D01,194
98,-41,O01,D01,194
98,-40,O01,D01,194
98,-39,O01,D01,194
98,-38,O01,D01,194
98,-37,O01,D01,194
98,-36,O01,D01,194
98,-35,O01,D01,194
98,-34,O01,D01,194
98,-33,O01,D01,194
98,-32,O01,D01,194
98,-31,O01,D01,194
98,-30,O01,D01,194
98,-29,O01,D01,194
98,-28,O01,D01,194
98,-27,O01,D01,194
98,-26,O01,D01,194
98,-25,O01,D01,194
98,-24,O01,D01,194
98,-23,O01,D01,194
98,-22,O01,D01,194
98,-21,O01,D01,194
98,-20,O01,D01,194
98,-19,O01,D01,194
98,-18,O01,D01,194
98,-17,O01,D01,194
98,-16,O01,D01,194
98,-15,O01,D01,194
98,-14,O01,D01,194
98,-13,O01,D01,194
98,-12,O02,D02,275
98,-11,O02,D02,275
98,-10,O02,D02,275
98,-9,O02,D02,275
98,-8,O02,D02,275
98,-7,O02,D02,275
98,-6,O02,D02,275
98,-5,O02,D02,275
98,-4,O02,D02,275
98,-3,O02,D02,275
98,-2,O02,D02,275
98,-1,O02,D02,275
98,0,O02,D02,275
98,1,O02,D02,275
98,2,O02,D02,275
98,3,O02,D02,275
98,4,O02,D02,275
98,5,O02,D02,275
98,6,O02,D02,275
98,7,O02,D02,275
98,8,O02,D02,275
98,9,O02,D02,275
98,10,O02,D02,275
98,11,O02,D02,275
98,12,O02,D02,275
98,13,O03,D03,194
98,14,O03,D03,194
98,15,O03,D03,194
98,16,O03,D03,194
98,17,O03,D03,194
98,18,O03,D03,194
98,19,O03,D03,194
98,20,O03,D03,194
98,21,O03,D03,194
98,22,O03,D03,194
98,23,O03,D03,194
98,24,O03,D03,194
98,25,O03,D03,194
98,26,O03,D03,194
98,27,O03,D03,194
98,28,O03,D03,194
98,29,O03,D03,194
98,30,O03,D03,194
98,31,O03,D03,194
98,32,O03,D03,194
98,33,O03,D03,194
98,34,O03,D03,194
98,35,O03,D03,194
98,36,O03,D03,194
98,37,O03,D03,194
98,38,O03,D03,194
98,39,O03,D03,194
98,40,O03,D03,194
98,41,O03,D03,194
98,42,O03,D03,194
97,-42,O01,D01,194
97,-41,O01,D01,194
97,-40,O01,D01,194
97,-39,O01,D01,194
97,-38,O01,D01,194
97,-37,O01,D01,194
97,-36,O01,D01,194
97,-35,O01,D01,194
97,-34,O01,D01,194
97,-33,O01,D01,194
97,-32,O01,D01,194
97,-31,O01,D01,194
97,-30,O01,D01,194
97,-29,O01,D01,194
97,-28,O01,D01,194
97,-27,O01,D01,194
97,-26,O01,D01,194
97,-25,O01,D01,194
97,-24,O01,D01,194
97,-23,O01,D01,194
97,-22,O01,D01,194
97,-21,O01,D01,194
97,-20,O01,D01,194
97,-19,O01,D01,194
97,-18,O01,D01,194
97,-17,O01,D01,194
97,-16,O01,D01,194
97,-15,O01,D01,194
97,-14,O01,D01,194
97,-13,O01,D01,194
97,-12,O02,D02,275
97,-11,O02,D02,275
97,-10,O02,D02,275
97,-9,O02,D02,275
97,-8,O02,D02,275
97,-7,O02,D02,275
97,-6,O02,D02,275
97,-5,O02,D02,275
97,-4,O02,D02,275
97,-3,O02,D02,275
97,-2,O02,D02,275
97,-1,O02,D02,275
97,0,O02,D02,275
97,1,O02,D02,275
97,2,O02,D02,275
97,3,O02,D02,275
97,4,O02,D02,275
97,5,O02,D02,275
97,6,O02,D02,275
97,7,O02,D02,275
97,8,O02,D02,275
97,9,O02,D02,275
97,10,O02,D02,275
97,11,O02,D02,275
97,12,O02,D02,275
97,13,O03,D03,194
97,14,O03,D03,194
97,15,O03,D03,194
97,16,O03,D03,194
97,17,O03,D03,194
97,18,O03,D03,194
97,19,O03,D03,194
97,20,O03,D03,194
97,21,O03,D03,194
97,22,O03,D03,194
97,23,O03,D03,194
97,24,O03,D03,194
97,25,O03,D03,194
97,26,O03,D03,194
97,27,O03,D03,194
97,28,O03,D03,194
97,29,O03,D03,194
97,30,O03,D03,194
97,31,O03,D03,194
97,32,O03,D03,194
97,33,O03,D03,194
97,34,O03,D03,194
97,35,O03,D03,194
97,36,O03,D03,194
97,37,O03,D03,194
97,38,O03,D03,194
97,39,O03,D03,194
97,40,O03,D03,194
97,41,O03,D03,194
97,42,O03,D03,194
96,-42,O01,D01,194
96,-41,O01,D01,194
96,-40,O01,D01,194
96,-39,O01,D01,194
96,-38,O01,D01,194
96,-37,O01,D01,194
96,-36,O01,D01,194
96,-35,O01,D01,194
96,-34,O01,D01,194
96,-33,O01,D01,194
96,-32,O01,D01,194
96,-31,O01,D01,194
96,-30,O01,D01,194
96,-29,O01,D01,194
96,-28,O01,D01,194
96,-27,O01,D01,194
96,-26,O01,D01,194
96,-25,O01,D01,194
96,-24,O01,D01,194
96,-23,O01,D01,194
96,-22,O01,D01,194
96,-21,O01,D01,194
96,-20,O01,D01,194
96,-19,O01,D01,194
96,-18,O01,D01,194
96,-17,O01,D01,194
96,-16,O01,D01,194
96,-15,O01,D01,194
96,-14,O01,D01,194
96,-13,O01,D01,194
96,-12,O02,D02,275
96,-11,O02,D02,275
96,-10,O02,D02,275
96,-9,O02,D02,275
96,-8,O02,D02,275
96,-7,O02,D02,275
96,-6,O02,D02,275
96,-5,O02,D02,275
96,-4,O02,D02,275
96,-3,O02,D02,275
96,-2,O02,D02,275
96,-1,O02,D02,275
96,0,O02,D02,275
96,1,O02,D02,275
96,2,O02,D02,275
96,3,O02,D02,275
96,4,O02,D02,275
96,5,O02,D02,275
96,6,O02,D02,275
96,7,O02,D02,275
96,8,O02,D02,275
96,9,O02,D02,275
96,10,O02,D02,275
96,11,O02,D02,275
96,12,O02,D02,275
96,13,O03,D03,194
96,14,O03,D03,194
96,15,O03,D03,194
96,16,O03,D03,194
96,17,O03,D03,194
96,18,O03,D03,194
96,19,O03,D03,194
96,20,O03,D03,194
96,21,O03,D03,194
96,22,O03,D03,194
96,23,O03,D03,194
96,24,O03,D03,194
96,25,O03,D03,194
96,26,O03,D03,194
96,27,O03,D03,194
96,28,O03,D03,194
96,29,O03,D03,194
96,30,O03,D03,194
96,31,O03,D03,194
96,32,O03,D03,194
96,33,O03,D03,194
96,34,O03,D03,194
96,35,O03,D03,194
96,36,O03,D03,194
96,37,O03,D03,194
96,38,O03,D03,194
96,39,O03,D03,194
96,40,O03,D03,194
96,41,O03,D03,194
96,42,O03,D03,194
95,-42,O01,D01,194
95,-41,O01,D01,194
95,-40,O01,D01,194
95,-39,O01,D01,194
95,-38,O01,D01,194
95,-37,O01,D01,194
95,-36,O01,D01,194
95,-35,O01,D01,194
95,-34,O01,D01,194
95,-33,O01,D01,194
95,-32,O01,D01,194
95,-31,O01,D01,194
95,-30,O01,D01,194
95,-29,O01,D01,194
95,-28,O01,D01,194
95,-27,O01,D01,194
95,-26,O01,D01,194
95,-25,O01,D01,194
95,-24,O01,D01,194
95,-23,O01,D01,194
95,-22,O01,D01,194
95,-21,O01,D01,194
95,-20,O01,D01,194
95,-19,O01,D01,194
95,-18,O01,D01,194
95,-17,O01,D01,194
95,-16,O01,D01,194
95,-15,O01,D01,194
95,-14,O01,D01,194
95,-13,O01,D01,194
95,-12,O02,D02,275
95,-11,O02,D02,275
95,-10,O02,D02,275
95,-9,O02,D02,275
95,-8,O02,D02,275
95,-7,O02,D02,275
95,-6,O02,D02,275
95,-5,O02,D02,275
95,-4,O02,D02,275
95,-3,O02,D02,275
95,-2,O02,D02,275
95,-1,O02,D02,275
95,0,O02,D02,275
95,1,O02,D02,275
95,2,O02,D02,275
95,3,O02,D02,275
95,4,O02,D02,275
95,5,O02,D02,275
95,6,O02,D02,275
95,7,O02,D02,275
95,8,O02,D02,275
95,9,O02,D02,275
95,10,O02,D02,275
95,11,O02,D02,275
95,12,O02,D02,275
95,13,O03,D03,194
95,14,O03,D03,194
95,15,O03,D03,194
95,16,O03,D03,194
95,17,O03,D03,194
95,18,O03,D03,194
95,19,O03,D03,194
95,20,O03,D03,194
95,21,O03,D03,194
95,22,O03,D03,194
95,23,O03,D03,194
95,24,O03,D03,194
95,25,O03,D03,194
95,26,O03,D03,194
95,27,O03,D03,194
95,28,O03,D03,194
95,29,O03,D03,194
95,30,O03,D03,194
95,31,O03,D03,194
95,32,O03,D03,194
95,33,O03,D03,194
95,34,O03,D03,194
95,35,O03,D03,194
95,36,O03,D03,194
95,37,O03,D03,194
95,38,O03,D03,194
95,39,O03,D03,194
95,40,O03,D03,194
95,41,O03,D03,194
95,42,O03,D03,194
94,-42,O01,D01,194
94,-41,O01,D01,194
94,-40,O01,D01,194
94,-39,O01,D01,194
94,-38,O01,D01,194
94,-37,O01,D01,194
94,-36,O01,D01,194
94,-35,O01,D01,194
94,-34,O01,D01,194
94,-33,O01,D01,194
94,-32,O01,D01,194
94,-31,O01,D01,194
94,-30,O01,D01,194
94,-29,O01,D01,194
94,-28,O01,D01,194
94,-27,O01,D01,194
94,-26,O01,D01,194
94,-25,O01,D01,194
94,-24,O01,D01,194
94,-23,O01,D01,194
94,-22,O01,D01,194
94,-21,O01,D01,194
94,-20,O01,D01,194
94,-19,O01,D01,194
94,-18,O01,D01,194
94,-17,O01,D01,194
94,-16,O01,D01,194
94,-15,O01,D01,194
94,-14,O01,D01,194
94,-13,O01,D01,194
94,-12,O02,D02,275
94,-11,O02,D02,275
94,-10,O02,D02,275
94,-9,O02,D02,275
94,-8,O02,D02,275
94,-7,O02,D02,275
94,-6,O02,D02,275
94,-5,O02,D02,275
94,-4,O02,D02,275
94,-3,O02,D02,275
94,-2,O02,D02,275
94,-1,O02,D02,275
94,0,O02,D02,275
94,1,O02,D02,275
94,2,O02,D02,275
94,3,O02,D02,275
94,4,O02,D02,275
94,5,O02,D02,275
94,6,O02,D02,275
94,7,O02,D02,275
94,8,O02,D02,275
94,9,O02,D02,275
94,10,O02,D02,275
94,11,O02,D02,275
94,12,O02,D02,275
94,13,O03,D03,194
94,14,O03,D03,194
94,15,O03,D03,194
94,16,O03,D03,194
94,17,O03,D03,194
94,18,O03,D03,194
94,19,O03,D03,194
94,20,O03,D03,194
94,21,O03,D03,194
94,22,O03,D03,194
94,23,O03,D03,194
94,24,O03,D03,194
94,25,O03,D03,194
94,26,O03,D03,194
94,27,O03,D03,194
94,28,O03,D03,194
94,29,O03,D03,194
94,30,O03,D03,194
94,31,O03,D03,194
94,32,O03,D03,194
94,33,O03,D03,194
94,34,O03,D03,194
94,35,O03,D03,194
94,36,O03,D03,194
94,37,O03,D03,194
94,38,O03,D03,194
94,39,O03,D03,194
94,40,O03,D03,194
94,41,O03,D03,194
94,42,O03,D03,194
93,-42,O01,D01,194
93,-41,O01,D01,194
93,-40,O01,D01,194
93,-39,O01,D01,194
93,-38,O01,D01,194
93,-37,O01,D01,194
93,-36,O01,D01,194
93,-35,O01,D01,194
93,-34,O01,D01,194
93,-33,O01,D01,194
93,-32,O01,D01,194
93,-31,O01,D01,194
93,-30,O01,D01,194
93,-29,O01,D01,194
93,-28,O01,D01,194
93,-27,O01,D01,194
93,-26,O01,D01,194
93,-25,O01,D01,194
93,-24,O01,D01,194
93,-23,O01,D01,194
93,-22,O01,D01,194
93,-21,O01,D01,194
93,-20,O01,D01,194
93,-19,O01,D01,194
93,-18,O01,D01,194
93,-17,O01,D01,194
93,-16,O01,D01,194
93,-15,O01,D01,194
93,-14,O01,D01,194
93,-13,O01,D01,194
93,-12,O02,D02,275
93,-11,O02,D02,275
93,-10,O02,D02,275
93,-9,O02,D02,275
93,-8,O02,D02,275
93,-7,O02,D02,275
93,-6,O02,D02,275
93,-5,O02,D02,275
93,-4,O02,D02,275
93,-3,O02,D02,275
93,-2,O02,D02,275
93,-1,O02,D02,275
93,0,O02,D02,275
93,1,O02,D02,275
93,2,O02,D02,275
93,3,O02,D02,275
93,4,O02,D02,275
93,5,O02,D02,275
93,6,O02,D02,275
93,7,O02,D02,275
93,8,O02,D02,275
93,9,O02,D02,275
93,10,O02,D02,275
93,11,O02,D02,275
93,12,O02,D02,275
93,13,O03,D03,194
93,14,O03,D03,194
93,15,O03,D03,194
93,16,O03,D03,194
93,17,O03,D03,194
93,18,O03,D03,194
93,19,O03,D03,194
93,20,O03,D03,194
93,21,O03,D03,194
93,22,O03,D03,194
93,23,O03,D03,194
93,24,O03,D03,194
93,25,O03,D03,194
93,26,O03,D03,194
93,27,O03,D03,194
93,28,O03,D03,194
93,29,O03,D03,194
93,30,O03,D03,194
93,31,O03,D03,194
93,32,O03,D03,194
93,33,O03,D03,194
93,34,O03,D03,194
93,35,O03,D03,194
93,36,O03,D03,194
93,37,O03,D03,194
93,38,O03,D03,194
93,39,O03,D03,194
93,40,O03,D03,194
93,41,O03,D03,194
93,42,O03,D03,194
92,-42,O01,D01,194
92,-41,O01,D01,194
92,-40,O01,D01,194
92,-39,O01,D01,194
92,-38,O01,D01,194
92,-37,O01,D01,194
92,-36,O01,D01,194
92,-35,O01,D01,194
92,-34,O01,D01,194
92,-33,O01,D01,194
92,-32,O01,D01,194
92,-31,O01,D01,194
92,-30,O01,D01,194
92,-29,O01,D01,194
92,-28,O01,D01,194
92,-27,O01,D01,194
92,-26,O01,D01,194
92,-25,O01,D01,194
92,-24,O01,D01,194
92,-23,O01,D01,194
92,-22,O01,D01,194
92,-21,O01,D01,194
92,-20,O01,D01,194
92,-19,O01,D01,194
92,-18,O01,D01,194
92,-17,O01,D01,194
92,-16,O01,D01,194
92,-15,O01,D01,194
92,-14,O01,D01,194
92,-13,O01,D01,194
92,-12,O02,D02,275
92,-11,O02,D02,275
92,-10,O02,D02,275
92,-9,O02,D02,275
92,-8,O02,D02,275
92,-7,O02,D02,275
92,-6,O02,D02,275
92,-5,O02,D02,275
92,-4,O02,D02,275
92,-3,O02,D02,275
