Season,SeasonState,StrengthState,Team,GP,TOI,CF,CA,FF,FA,SF,SA,GF,GA,xGF_F,xGA_F,xGF_S,xGA_S,xGF_F2,xGA_F2,PIM_for,PIM_against
19741975,regular,Other,STL,80,4800.0,269,267,269,267,269,267,269,267,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,1148.0
19741975,regular,Other,TOR,80,4800.0,280,309,280,309,280,309,280,309,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,1276.0
19741975,regular,Other,WSH,80,4800.0,181,446,181,446,181,446,181,446,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,1178.0
19741975,regular,Other,VAN,80,4800.0,271,254,271,254,271,254,271,254,0.0,0.0,0.0,0.0,0.0,0.0,965.0,1078.0
19741975,regular,Other,CHI,80,4800.0,268,241,268,241,268,241,268,241,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,1104.0
19741975,regular,Other,NYI,80,4800.0,264,221,264,221,264,221,264,221,0.0,0.0,0.0,0.0,0.0,0.0,1116.0,1009.0
19741975,regular,Other,AFM,80,4800.0,243,233,243,233,243,233,243,233,0.0,0.0,0.0,0.0,0.0,0.0,915.0,899.0
19741975,regular,Other,DET,80,4800.0,259,335,259,335,259,335,259,335,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,1193.0
19731974,regular,Other,BOS,78,4680.0,349,221,349,221,349,221,349,221,0.0,0.0,0.0,0.0,0.0,0.0,968.0,867.0
19731974,regular,Other,VAN,78,4680.0,224,296,224,296,224,296,224,296,0.0,0.0,0.0,0.0,0.0,0.0,952.0,958.0
19731974,regular,Other,DET,78,4680.0,255,319,255,319,255,319,255,319,0.0,0.0,0.0,0.0,0.0,0.0,917.0,950.0
19731974,regular,Other,PIT,78,4680.0,242,273,242,273,242,273,242,273,0.0,0.0,0.0,0.0,0.0,0.0,950.0,989.0
19731974,regular,Other,PHI,78,4680.0,273,164,273,164,273,164,273,164,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,1257.0
19731974,regular,Other,MTL,78,4680.0,293,240,293,240,293,240,293,240,0.0,0.0,0.0,0.0,0.0,0.0,761.0,832.0
19731974,regular,Other,CHI,78,4680.0,272,164,272,164,272,164,272,164,0.0,0.0,0.0,0.0,0.0,0.0,877.0,856.0
19731974,regular,Other,CGS,78,4680.0,195,342,195,342,195,342,195,342,0.0,0.0,0.0,0.0,0.0,0.0,651.0,870.0
19731974,regular,Other,LAK,78,4680.0,233,231,233,231,233,231,233,231,0.0,0.0,0.0,0.0,0.0,0.0,1055.0,1221.0
19731974,regular,Other,STL,78,4680.0,206,248,206,248,206,248,206,248,0.0,0.0,0.0,0.0,0.0,0.0,1147.0,1007.0
19731974,regular,Other,MNS,78,4680.0,235,275,235,275,235,275,235,275,0.0,0.0,0.0,0.0,0.0,0.0,821.0,749.0
19731974,playoffs,Other,LAK,5,300.0,7,10,7,10,7,10,7,10,0.0,0.0,0.0,0.0,0.0,0.0,111.0,79.0
19721973,regular,Other,PIT,78,4680.0,257,265,257,265,257,265,257,265,0.0,0.0,0.0,0.0,0.0,0.0,866.0,1092.0
19721973,regular,Other,PHI,78,4680.0,296,256,296,256,296,256,296,256,0.0,0.0,0.0,0.0,0.0,0.0,1756.0,1393.0
19721973,regular,Other,MNS,78,4680.0,254,230,254,230,254,230,254,230,0.0,0.0,0.0,0.0,0.0,0.0,881.0,863.0
19721973,regular,Other,MTL,78,4680.0,329,184,329,184,329,184,329,184,0.0,0.0,0.0,0.0,0.0,0.0,783.0,752.0
19721973,regular,Other,CGS,78,4680.0,213,323,213,323,213,323,213,323,0.0,0.0,0.0,0.0,0.0,0.0,840.0,841.0
19721973,regular,Other,LAK,78,4680.0,232,245,232,245,232,245,232,245,0.0,0.0,0.0,0.0,0.0,0.0,888.0,1020.0
19721973,regular,Other,DET,78,4680.0,265,243,265,243,265,243,265,243,0.0,0.0,0.0,0.0,0.0,0.0,893.0,972.0
19721973,regular,Other,BUF,78,4680.0,257,219,257,219,257,219,257,219,0.0,0.0,0.0,0.0,0.0,0.0,940.0,1038.0
19721973,regular,Other,AFM,78,4680.0,191,239,191,239,191,239,191,239,0.0,0.0,0.0,0.0,0.0,0.0,849.0,1029.0
19721973,regular,Other,STL,78,4680.0,233,251,233,251,233,251,233,251,0.0,0.0,0.0,0.0,0.0,0.0,1195.0,973.0
19721973,regular,Other,CHI,78,4680.0,284,225,284,225,284,225,284,225,0.0,0.0,0.0,0.0,0.0,0.0,866.0,750.0
19721973,regular,Other,NYR,78,4680.0,297,208,297,208,297,208,297,208,0.0,0.0,0.0,0.0,0.0,0.0,765.0,823.0
19721973,regular,Other,NYI,78,4680.0,170,347,170,347,170,347,170,347,0.0,0.0,0.0,0.0,0.0,0.0,881.0,904.0
19711972,regular,Other,LAK,78,4680.0,206,305,206,305,206,305,206,305,0.0,0.0,0.0,0.0,0.0,0.0,719.0,836.0
19711972,regular,Other,CGS,78,4680.0,216,288,216,288,216,288,216,288,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,1118.0
19711972,regular,Other,STL,78,4680.0,208,247,208,247,208,247,208,247,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,1011.0
19711972,regular,Other,MTL,78,4680.0,307,205,307,205,307,205,307,205,0.0,0.0,0.0,0.0,0.0,0.0,783.0,835.0
