game_id,season,date,away_team_id,home_team_id,home_score,away_score,awayteam,hometeam,home_win
91113,20222023,2022-10-07,9,17,4,1,SJS,NSH,1
91114,20222023,2022-10-08,17,9,2,3,NSH,SJS,0
91115,20222023,2022-10-11,24,28,3,1,TBL,NYR,1
91116,20222023,2022-10-11,322,7,3,4,VGK,LAK,0
91117,20222023,2022-10-12,21,31,2,5,BOS,WSH,0
91118,20222023,2022-10-12,26,32,4,1,CBJ,CAR,1
91119,20222023,2022-10-12,23,6,4,3,TOR,MTL,1
91120,20222023,2022-10-12,16,14,5,2,CHI,COL,1
91121,20222023,2022-10-12,1390,12,5,4,SEA,ANA,1
91122,20222023,2022-10-12,11,1,5,3,VAN,EDM,1
91124,20222023,2022-10-13,27,29,5,2,NJD,PHI,1
91125,20222023,2022-10-13,2,22,4,1,OTT,BUF,1
91126,20222023,2022-10-13,25,5,1,3,FLA,NYI,0
91127,20222023,2022-10-13,31,23,3,2,WSH,TOR,1
91128,20222023,2022-10-13,28,15,3,7,NYR,MIN,0
91129,20222023,2022-10-13,13,17,1,4,DAL,NSH,0
91130,20222023,2022-10-13,14,10,5,3,COL,CGY,1
91131,20222023,2022-10-13,16,322,1,0,CHI,VGK,1
91132,20222023,2022-10-13,1390,7,1,4,SEA,LAK,0
91133,20222023,2022-10-14,24,26,2,5,TBL,CBJ,0
91134,20222023,2022-10-14,6,20,3,0,MTL,DET,1
91135,20222023,2022-10-14,28,19,4,1,NYR,WPG,1
91136,20222023,2022-10-14,32,9,1,2,CAR,SJS,0
91137,20222023,2022-10-15,25,22,3,4,FLA,BUF,0
91138,20222023,2022-10-15,11,29,3,2,VAN,PHI,1
91140,20222023,2022-10-15,20,27,2,5,DET,NJD,0
91141,20222023,2022-10-15,6,31,3,1,MTL,WSH,1
91142,20222023,2022-10-15,2,23,3,2,OTT,TOR,1
91143,20222023,2022-10-15,24,30,6,2,TBL,PIT,1
91144,20222023,2022-10-15,12,5,7,1,ANA,NYI,1
91145,20222023,2022-10-15,26,18,5,2,CBJ,STL,1
91146,20222023,2022-10-15,7,15,6,7,LAK,MIN,0
91147,20222023,2022-10-15,17,13,5,1,NSH,DAL,1
91148,20222023,2022-10-15,322,1390,2,5,VGK,SEA,0
91149,20222023,2022-10-15,16,9,2,5,CHI,SJS,0
91150,20222023,2022-10-15,10,1,3,4,CGY,EDM,0
91151,20222023,2022-10-17,12,28,6,4,ANA,NYR,1
