season,playerid,gameid,manpower,xg_on_a,xga,ga,sa,toi
20222023,615.0,91113,EV,2.98569302354008,2.85845260869246,3,27,44.8694444444458
20222023,615.0,91113,PP,0.0020795557647943,0.0009102743933908,0,1,5.919444444445
20222023,615.0,91113,SH,0.566640790551901,0.840960088302381,0,6,5.77277777777666
20222023,2231.0,91113,EV,1.56064809695817,1.78852518391795,1,23,46.1838888888908
20222023,2231.0,91113,PP,0.0,0.0,0,0,5.77277777777666
20222023,2231.0,91113,SH,1.25855278223753,1.35250822943635,0,8,5.919444444445
20222023,2141.0,91114,EV,1.19573391438462,0.976691462798042,3,19,42.0561111111127
20222023,2141.0,91114,PP,0.0405961163341999,0.0163356307893991,0,1,7.0361111111115
20222023,2141.0,91114,SH,0.0855363328009843,0.270564454840496,0,2,5.89111111110893
20222023,14675.0,91114,EV,1.85310861002654,1.92126202324289,1,22,44.6183333333356
20222023,14675.0,91114,PP,0.037397994485218,0.0294908259529618,0,3,5.89111111110893
20222023,14675.0,91114,SH,1.64048099890351,1.53235068940557,1,10,7.0361111111115
20222023,641.0,91115,EV,1.50537542253733,1.55347924825037,1,19,40.5277777777803
20222023,641.0,91115,PP,0.360947082517668,0.304263187164906,1,5,9.78222222222333
20222023,641.0,91115,SH,1.53841077932157,1.63390585378511,1,12,6.06666666667001
20222023,2297.0,91115,EV,1.24695971002802,0.939471284800674,0,18,42.0466666666686
20222023,2297.0,91115,PP,0.0,0.0,0,0,6.06666666667001
20222023,2297.0,91115,SH,1.05837297812104,0.701440071337856,1,11,9.78222222222333
20222023,164.0,91116,EV,3.39596854068804,2.97177420856314,3,41,46.4416666666658
20222023,164.0,91116,PP,0.0994837656617164,0.0728364586830139,0,1,4.22277777777884
20222023,164.0,91116,SH,0.515781696885824,0.474976758938282,1,5,6.40388888888834
20222023,9984.0,91116,EV,2.95707141887396,2.39582832576707,3,36,47.0011111111102
20222023,9984.0,91116,PP,0.0008271423284895,0.0007178983651101,0,1,6.40388888888834
20222023,9984.0,91116,SH,0.0,0.078299958258867,0,0,4.22277777777884
20222023,392.0,91117,EV,1.75095586763928,2.0878339043702,3,22,43.4638888888942
20222023,392.0,91117,PP,0.0112987376051023,0.0073400964029132,0,2,7.87333333333517
20222023,392.0,91117,SH,0.512074310332536,0.579341551288962,1,6,4.60555555555683
20222023,1812.0,91117,EV,1.8385561707546,2.28719699720386,2,28,45.3544444444492
20222023,1812.0,91117,PP,0.22134596738033,0.218752297398169,0,3,4.60555555555683
20222023,1812.0,91117,SH,0.582818925380707,0.482276378199458,0,5,7.87333333333517
20222023,321.0,91118,EV,2.05613851707312,1.49055719637545,1,30,49.3738888888858
20222023,321.0,91118,PP,0.0,0.0,0,0,3.77833333333166
20222023,321.0,91118,SH,0.0744740664958953,0.102353282272816,0,1,3.924444444445
20222023,16865.0,91118,EV,2.01003496523481,1.75959383579902,4,37,49.3738888888858
20222023,16865.0,91118,PP,0.0,0.0,0,0,3.924444444445
20222023,16865.0,91118,SH,0.735051624476909,0.499124786350876,0,6,3.77833333333166
20222023,467.0,91119,EV,2.69088788260706,2.56745555839734,3,31,44.9255555555603
20222023,467.0,91119,PP,0.0006092630210332,0.0004349058726802,0,1,6.59777777777834
