playerid,source_player_name
37275,Josh Glavin
37287,Luca Testa
37288,Masen Wray
37290,Frankie Marrelli
37301,Rowan Topp
37311,Alex Kostov
37431,Linus Funck
37691,Gabriel Eliasson
38006,Hunter McKenzie
38121,Sebastian Gatto
38337,Carter George
38371,Andrew Vermeulen
38433,Easton Rye
38917,Brodie McConnell-Barker
38948,Connor Bewick
38954,Mitch Young
39427,Mike McIvor
39428,Matthew Frost
39466,Egor Barabanov
39670,Landon Miller
39845,Karsen Chartier
39936,Garrett Frazer
39991,Christian Kirsch
40005,Julius Saari
40035,Miroslav Satan
40037,Vladimir Dravecky
40350,Carson Hall
40693,Charlie Burns
40892,Grayden Strohack
40966,Cole Davis
41055,Adam Novotny
41061,Jakub Winkelhofer
41120,William Nicholl
41140,Tate Vader
41141,Spencer Evans
41480,Owen Protz
41576,Jack Pridham
41605,Kaeden Hawkins
41642,Carson Woodall
42303,Alex Misiak
42583,Callum Hughes
43067,Ruslan Karimov
44718,Tyler Hopkins
44726,Riley Patterson
44727,Shamar Moses
44762,Charlie Hilton
44764,Nic Whitehead
44765,Brett Hammond
44767,Wesley Royston
44795,Henry Brzustewicz
44797,Dylan Tsherna
44798,Jake O'Brien
44800,Caden Taylor
44801,Jack Nesbitt
44803,James Barr
44804,Ryan Brown
44807,Hughston Hurt
44809,Jeremy Martin
44810,Jimmy Lombardi
44811,Rylan Fellinger
44812,Travis Hayes
44813,Brady Martin
44815,Jake Crawford
44817,Harry Nansi
44820,Wil McFadden
44823,Rylan Singh
44825,Parker Snelgrove
45418,Ben Radley
49326,Mateu Spath
45601,Trevor O’Dell
45895,Hudson Chitaroni
45907,Holden Carter
45912,Chase Reid
45933,Justin Handsor
46005,Eric He
46014,Jaeden Nelson
46100,Luca Diplacido
46101,Kieren Dervin
46137,Jaxon Cover
46138,Michael Dec
46139,Oliver Turner
46141,Sebastian Dell'Elce
46142,Paolo Frasca
46224,Tristen Trevino
46425,Cameron Arquette
46441,Reyth Smith
46472,Xander Velliaris
46473,Noah Jenken
46502,PJ Fagan II
46508,Ryan White
46576,Max Dirracolo
46580,Evan Maillet
46696,Zach Houben
46767,Edison Engle
46808,Arseny Pronin
47104,Briir Long
47136,Matthew Koprowski
47358,Harrison Franssen
47369,Brody Cook
48134,Cole Dubowsky
48267,Haeden Ellis
48284,Blake Clayton
48297,Kase Kamzik
48314,Charlie Larocque
1,Jeff Petry
48419,Simon Belohorsky
48451,Matej Stankoven
48452,Juraj Rausa
48467,Tobias Zvolensky
48595,Nikita Klepov
48612,George Komadoski
48616,Caden Harvey
48633,Leo Laschon
48636,Levi Harper
48682,Jayden Connors
48687,David Green
48731,Luka Graziano
48736,Chris Soares
48742,Kaiden Harmon
48749,Jonathan Kapageridis
48768,Anthony Timmerman
49474,Stepan Shurygin
49675,Onni Kalto
49761,Hudson Martin
49801,Evgeny Dubrovtsev
49847,Mason Walker
49903,Jasper Kuhta
49909,Eric Frossard
49977,Cole Wreggitt
49996,Kaden Wicklander
50241,Dryden Allen
50242,Cooper Dennis
50371,Darian Anderson
50377,Callum Croskery
50378,Alexander Hage
50450,Thomas Vandenberg
50548,Jaden Cholette
50553,Jack O'Brien
50565,John Alex Banks
50589,Caleb Malhotra
50624,Liam Beamish
50630,Easton Walos
50633,Jordan Bax
50636,Andoni Fimis
50638,Tommy Karmiris
50783,Brayden Krawczyk
51037,Jean-Christoph Lemieux
51038,Carter Hicks
51040,Ethan Belchetz
51041,Kaden Sienko
51042,Brody Najim
51043,Graydon Jones
51085,Adam Kelly
51086,Nolan Buttar
51087,Genc Ula
51088,Francis Parish
51089,Adam Levac
51090,Masen Johnston
51091,Blake Gowan
51092,Colin Fitzgerald
51098,Brady Blaseg
51108,Thanasi Marentette
51109,Ryder Carey
51116,Alexander Bilecki
51117,Weston Cameron
51118,Matthew Hlacar
51119,Jack LaBrash
51120,Jason Schaubel
51121,Kaden Schneider
51123,Josh Colosimo
51124,Cole Zurawski
51126,Cohen Bidgood
51127,Logan Hawery
51128,Caleb Mitchell
51136,Rowan Henderson
51137,Finn Marshall
51139,Ryan Chamberlain
51140,Alessandro Di Iorio
51141,Beckham Edwards
51142,Carson Andrew
51143,Keegan Gillen
51146,Brady R. Smith
51147,Hunter Solomon
51148,Elliot Arnett
51150,Ethan Kindree
51151,Pierce Mbuyi
51152,Colin Ellsworth
51153,Sam Johnston
51154,Alex McLean
51155,Carter Stevens
51175,Ethan Armstrong
51231,Ryland Cunningham
51232,Easton Mikus
51263,Nathan Amidovski
51336,Aaron Enright
51421,Lukas Moore
51423,Dawson Morris
51441,Christian Colosimo
51503,Riley Clark
51504,Matthew Humphries
51527,Troy Patton
51687,Gavin Betts
51707,Charlie Hotles
51708,Hayden Jeffery
51722,Xavier Tessier
51740,Ritter Coombs
51958,Trevor Theuer
51977,Aiden O'Donnell
51978,Arvin Jaswal
52066,Zachary Jovanovski
52067,Chase Gaughan
52084,Jack Lisson
52093,Manuel Amado
52094,Dimian Zhilkin
52403,Ryder Simpson
52538,Camden McCuaig
52541,Sam Black
52551,Mason Roy
52552,Max Brocklehurst
52559,Jared Harding
52791,Noah Gaudet-Barton
52792,Teague Vader
52872,Matthew Minchak
52875,Robin Kuzma
52876,Jacob Monks
52878,Lucas Teixeira
52884,Matthew Manza
52894,Daniel Berehowsky
52931,Jordan Charron
53004,Dallys Hibbert
53086,Michael D'Alessio
53100,Kimani Eccleston
53172,Liam Campbell
164,Jonathan Quick
170,Brayden McNabb
174,Sean Monahan
176,Mikael Backlund
195,Sam Bennett
199,Jordan Martinook
349,Valeri Nichushkin
359,Ryan O'Reilly
361,Gabriel Landeskog
368,Calvin Pickard
378,Nathan MacKinnon
380,Jonas Brodin
441,Roman Josi
449,Filip Forsberg
467,Jake Allen
471,Jaden Schwartz
472,Vladimir Tarasenko
484,Tyler Myers
487,Mark Scheifele
498,Jacob Trouba
499,Ben Chiarot
518,Luke Glendening
523,Gustav Nyquist
532,Milan Lucic
59095,Henry Steele
59096,Salvatore Viviano
59097,Owen Degraff
59098,Ryan Hecker
59099,Miles Jinman
59100,Anthony Pellitteri
59101,Jake Schultz
59140,Brady Kudrna
59141,Brady Sloper
59175,Gavin Katz
59176,Stephen Cover
59177,Cash Cruitt
59178,Bryce Wiitala
59180,Cooper Simon
59181,Dennis Emesibe
59182,James Scantlebury
59184,Luca Cannata
59190,Jason Millett
59192,Benson Grande
59201,Jachym Prusek
59202,Hudson Lohse
59219,Jean-Samuel Daigneault
59222,Will Keane
59223,Alex Smyth
59248,Danick St-Pierre
53178,Blake Barnes
