season,source_game_id,game_date,playerid,source_player_name,team,opponent,position,games_in_window,projected_value
20252026,171941,2026-01-02,1.0,Jeff Petry,FLA,NYR,D,60,0.04507301949423361
20252026,171959,2026-01-04,1.0,Jeff Petry,FLA,COL,D,60,0.04360035646050654
20252026,171972,2026-01-06,1.0,Jeff Petry,FLA,TOR,D,60,0.044676720575544365
20252026,171983,2026-01-08,1.0,Jeff Petry,FLA,MTL,D,60,0.046239166532203675
20252026,172050,2026-01-16,1.0,Jeff Petry,FLA,CAR,D,60,0.04374244719324172
20252026,172061,2026-01-17,1.0,Jeff Petry,FLA,WSH,D,60,0.04393361408234894
20252026,172073,2026-01-19,1.0,Jeff Petry,FLA,SJS,D,60,0.04334624346320564
20252026,172123,2026-01-25,1.0,Jeff Petry,FLA,CHI,D,60,0.04181843110461325
20252026,172162,2026-01-31,1.0,Jeff Petry,FLA,WPG,D,60,0.043245263181786266
20252026,172176,2026-02-02,1.0,Jeff Petry,FLA,BUF,D,60,0.0436841166038489
20252026,172193,2026-02-04,1.0,Jeff Petry,FLA,BOS,D,60,0.04428392661025535
20252026,172230,2026-02-27,1.0,Jeff Petry,FLA,BUF,D,60,0.04909031695282637
20252026,172248,2026-03-01,1.0,Jeff Petry,FLA,NYI,D,60,0.049776619141940856
20252026,172360,2026-03-15,1.0,Jeff Petry,MIN,TOR,D,60,0.049464617480472914
20252026,172554,2026-04-09,1.0,Jeff Petry,MIN,DAL,D,60,0.04670767273941856
20252026,172567,2026-04-11,1.0,Jeff Petry,MIN,NSH,D,60,0.04612762822285241
20252026,171936,2026-01-01,2.0,Taylor Hall,CAR,MTL,F,60,0.21904439777064552
20252026,171953,2026-01-03,2.0,Taylor Hall,CAR,COL,F,60,0.21598912834279366
20252026,171960,2026-01-04,2.0,Taylor Hall,CAR,NJD,F,60,0.21422728066010918
20252026,171971,2026-01-06,2.0,Taylor Hall,CAR,DAL,F,60,0.21493639772519663
20252026,171988,2026-01-08,2.0,Taylor Hall,CAR,ANA,F,60,0.2145549710600632
20252026,172050,2026-01-16,2.0,Taylor Hall,CAR,FLA,F,60,0.20466871545297943
20252026,172059,2026-01-17,2.0,Taylor Hall,CAR,NJD,F,60,0.21034984568095905
20252026,172096,2026-01-22,2.0,Taylor Hall,CAR,CHI,F,60,0.19845203710484516
20252026,172113,2026-01-24,2.0,Taylor Hall,CAR,OTT,F,60,0.19519392664476642
20252026,172164,2026-01-31,2.0,Taylor Hall,CAR,WSH,F,60,0.1922690867714012
20252026,172174,2026-02-01,2.0,Taylor Hall,CAR,LAK,F,60,0.19094121968739378
20252026,172190,2026-02-03,2.0,Taylor Hall,CAR,OTT,F,60,0.19055935489285739
20252026,172242,2026-02-28,2.0,Taylor Hall,CAR,DET,F,60,0.19292515211085767
20252026,172257,2026-03-02,2.0,Taylor Hall,CAR,SEA,F,60,0.1934990707258442
20252026,172272,2026-03-04,2.0,Taylor Hall,CAR,VAN,F,60,0.1947162573140561
20252026,172286,2026-03-06,2.0,Taylor Hall,CAR,EDM,F,60,0.19399692434752877
20252026,172298,2026-03-07,2.0,Taylor Hall,CAR,CGY,F,60,0.18999779877652426
20252026,172349,2026-03-14,2.0,Taylor Hall,CAR,TBL,F,60,0.19151445278255888
20252026,172370,2026-03-17,2.0,Taylor Hall,CAR,CBJ,F,60,0.18991308727574363
20252026,172378,2026-03-18,2.0,Taylor Hall,CAR,PIT,F,60,0.18961534635119473
20252026,172421,2026-03-24,2.0,Taylor Hall,CAR,MTL,F,60,0.1986547332130677
