game_id,season,date,hometeam,awayteam,home_score,away_score
52070,20212022,2021-10-12,TBL,PIT,2.0,6.0
53880,20212022,2021-10-12,VGK,SEA,4.0,3.0
52071,20212022,2021-10-13,TOR,MTL,2.0,1.0
52072,20212022,2021-10-13,WSH,NYR,5.0,1.0
52073,20212022,2021-10-13,ANA,WPG,4.0,1.0
52074,20212022,2021-10-13,COL,CHI,4.0,2.0
52075,20212022,2021-10-13,EDM,VAN,3.0,2.0
52076,20212022,2021-10-14,BUF,MTL,5.0,1.0
52077,20212022,2021-10-14,OTT,TOR,3.0,2.0
52078,20212022,2021-10-14,FLA,PIT,5.0,4.0
52079,20212022,2021-10-14,NYR,DAL,2.0,3.0
52080,20212022,2021-10-14,CAR,NYI,6.0,3.0
52081,20212022,2021-10-14,CBJ,ARI,8.0,2.0
52082,20212022,2021-10-14,DET,TBL,6.0,7.0
52083,20212022,2021-10-14,LAK,VGK,6.0,2.0
53881,20212022,2021-10-14,NSH,SEA,3.0,4.0
52084,20212022,2021-10-15,NJD,CHI,4.0,3.0
52085,20212022,2021-10-15,PHI,VAN,4.0,5.0
52086,20212022,2021-10-15,ANA,MIN,1.0,2.0
52087,20212022,2021-10-16,BUF,ARI,2.0,1.0
52088,20212022,2021-10-16,FLA,NYI,5.0,1.0
52089,20212022,2021-10-16,BOS,DAL,3.0,1.0
52090,20212022,2021-10-16,TOR,OTT,3.0,1.0
52091,20212022,2021-10-16,MTL,NYR,1.0,3.0
52092,20212022,2021-10-16,DET,VAN,3.0,1.0
52093,20212022,2021-10-16,PIT,CHI,5.0,2.0
52094,20212022,2021-10-16,WSH,TBL,1.0,2.0
52095,20212022,2021-10-16,NSH,CAR,2.0,3.0
52096,20212022,2021-10-16,COL,STL,3.0,5.0
52097,20212022,2021-10-16,SJS,WPG,4.0,3.0
52098,20212022,2021-10-16,EDM,CGY,5.0,2.0
52099,20212022,2021-10-16,LAK,MIN,2.0,3.0
53882,20212022,2021-10-16,CBJ,SEA,2.0,1.0
52100,20212022,2021-10-17,OTT,DAL,3.0,2.0
52101,20212022,2021-10-18,TOR,NYR,1.0,2.0
52102,20212022,2021-10-18,CGY,ANA,2.0,3.0
52103,20212022,2021-10-18,ARI,STL,4.0,7.0
53883,20212022,2021-10-18,PHI,SEA,6.0,1.0
52104,20212022,2021-10-19,BUF,VAN,5.0,2.0
52105,20212022,2021-10-19,MTL,SJS,0.0,5.0
52106,20212022,2021-10-19,TBL,FLA,1.0,4.0
52107,20212022,2021-10-19,PIT,DAL,1.0,2.0
52108,20212022,2021-10-19,WSH,COL,6.0,3.0
52109,20212022,2021-10-19,DET,CBJ,4.0,1.0
52110,20212022,2021-10-19,CHI,NYI,1.0,4.0
52111,20212022,2021-10-19,NSH,LAK,2.0,1.0
52112,20212022,2021-10-19,MIN,WPG,6.0,5.0
52113,20212022,2021-10-19,EDM,ANA,6.0,5.0
53884,20212022,2021-10-19,NJD,SEA,4.0,2.0
52114,20212022,2021-10-20,PHI,BOS,6.0,3.0
52115,20212022,2021-10-20,VGK,STL,1.0,3.0
52116,20212022,2021-10-21,MTL,CAR,1.0,4.0
52117,20212022,2021-10-21,OTT,SJS,1.0,2.0
52118,20212022,2021-10-21,FLA,COL,4.0,1.0
52119,20212022,2021-10-21,NJD,WSH,1.0,4.0
52120,20212022,2021-10-21,CBJ,NYI,3.0,2.0
52121,20212022,2021-10-21,DET,CGY,0.0,3.0
52122,20212022,2021-10-21,NSH,NYR,1.0,3.0
52123,20212022,2021-10-21,WPG,ANA,5.0,1.0
52124,20212022,2021-10-21,CHI,VAN,1.0,4.0
52125,20212022,2021-10-21,ARI,EDM,1.0,5.0
52126,20212022,2021-10-22,TOR,SJS,3.0,5.0
52127,20212022,2021-10-22,BUF,BOS,1.0,4.0
52128,20212022,2021-10-22,DAL,LAK,3.0,2.0
52129,20212022,2021-10-22,VGK,EDM,3.0,5.0
52130,20212022,2021-10-23,OTT,NYR,2.0,3.0
52131,20212022,2021-10-23,WSH,CGY,3.0,4.0
52132,20212022,2021-10-23,MIN,ANA,4.0,3.0
52133,20212022,2021-10-23,WPG,NSH,6.0,4.0
52134,20212022,2021-10-23,MTL,DET,6.0,1.0
52135,20212022,2021-10-23,TBL,COL,3.0,4.0
52136,20212022,2021-10-23,NJD,BUF,2.0,1.0
52137,20212022,2021-10-23,PHI,FLA,2.0,4.0
52138,20212022,2021-10-23,PIT,TOR,7.0,1.0
52139,20212022,2021-10-23,CBJ,CAR,1.0,5.0
52140,20212022,2021-10-23,STL,LAK,7.0,3.0
52141,20212022,2021-10-23,ARI,NYI,0.0,3.0
53885,20212022,2021-10-23,SEA,VAN,2.0,4.0
52142,20212022,2021-10-24,BOS,SJS,4.0,3.0
52143,20212022,2021-10-24,MIN,NSH,2.0,5.0
52144,20212022,2021-10-24,CHI,DET,3.0,6.0
52145,20212022,2021-10-24,VGK,NYI,0.0,2.0
52146,20212022,2021-10-25,BUF,TBL,5.0,1.0
52147,20212022,2021-10-25,OTT,WSH,5.0,7.0
52148,20212022,2021-10-25,FLA,ARI,5.0,3.0
52149,20212022,2021-10-25,NYR,CGY,1.0,5.0
52150,20212022,2021-10-25,CAR,TOR,4.0,1.0
52151,20212022,2021-10-25,CBJ,DAL,4.0,1.0
52152,20212022,2021-10-25,STL,LAK,3.0,0.0
52153,20212022,2021-10-26,NJD,CGY,3.0,5.0
52154,20212022,2021-10-26,PIT,TBL,1.0,5.0
52155,20212022,2021-10-26,COL,VGK,1.0,3.0
52156,20212022,2021-10-26,NSH,SJS,3.0,1.0
52157,20212022,2021-10-26,VAN,MIN,2.0,3.0
52158,20212022,2021-10-26,ANA,WPG,3.0,4.0
53886,20212022,2021-10-26,SEA,MTL,5.0,1.0
52159,20212022,2021-10-27,FLA,BOS,4.0,1.0
52160,20212022,2021-10-27,WSH,DET,2.0,3.0
52161,20212022,2021-10-27,CHI,TOR,2.0,3.0
52162,20212022,2021-10-27,DAL,VGK,2.0,3.0
52163,20212022,2021-10-27,EDM,PHI,3.0,5.0
52164,20212022,2021-10-28,TBL,ARI,5.0,1.0
52165,20212022,2021-10-28,PIT,CGY,0.0,4.0
52166,20212022,2021-10-28,CAR,BOS,3.0,0.0
52167,20212022,2021-10-28,STL,COL,3.0,4.0
52168,20212022,2021-10-28,VAN,PHI,1.0,2.0
52169,20212022,2021-10-28,ANA,BUF,3.0,4.0
52170,20212022,2021-10-28,LAK,WPG,2.0,3.0
52171,20212022,2021-10-28,SJS,MTL,0.0,4.0
53887,20212022,2021-10-28,SEA,MIN,4.0,1.0
52172,20212022,2021-10-29,DET,FLA,2.0,3.0
52173,20212022,2021-10-29,NYR,CBJ,4.0,0.0
52174,20212022,2021-10-29,WSH,ARI,2.0,0.0
52175,20212022,2021-10-29,CAR,CHI,6.0,3.0
52176,20212022,2021-10-29,VGK,ANA,5.0,4.0
52177,20212022,2021-10-29,DAL,OTT,1.0,4.0
52178,20212022,2021-10-30,NSH,NYI,3.0,2.0
52179,20212022,2021-10-30,LAK,MTL,5.0,2.0
52180,20212022,2021-10-30,SJS,WPG,2.0,1.0
52181,20212022,2021-10-30,BOS,FLA,3.0,2.0
52182,20212022,2021-10-30,TOR,DET,5.0,4.0
52183,20212022,2021-10-30,PIT,NJD,2.0,4.0
52184,20212022,2021-10-30,STL,CHI,1.0,0.0
52185,20212022,2021-10-30,COL,MIN,4.0,1.0
52186,20212022,2021-10-30,VAN,EDM,1.0,2.0
52187,20212022,2021-10-30,CGY,PHI,4.0,0.0
52188,20212022,2021-10-31,CAR,ARI,2.0,1.0
