gameid,team,date,gf,ga,g_plusminus,xg_plusminus,poss_value,off_the_puck,gax,gsax,xga,pass_carry_dump,faceoff_def,rookie_F,rookie_D,rookie_G,xgf,xga_target
52070,TBL,2021-10-12,2.0,6.0,-4.0,-4.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,2.4395095509244102,3.6129344815271933
52071,TOR,2021-10-13,2.0,1.0,1.0,1.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,4.024729033058972,3.278101619915105
52072,WSH,2021-10-13,5.0,1.0,4.0,4.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,3.1079869549721515,2.183928271406327
52073,ANA,2021-10-13,4.0,1.0,3.0,3.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,2.897779153194276,2.493943024368492
52074,COL,2021-10-13,4.0,2.0,2.0,2.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,4.722402845276514,2.634460289846173
52075,EDM,2021-10-13,2.0,2.0,0.0,0.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,3.2148297742242025,3.4915536656044415
52076,BUF,2021-10-14,5.0,1.0,4.0,4.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,3.441405197023409,2.6681731368880683
52077,OTT,2021-10-14,3.0,2.0,1.0,1.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,4.62061724276281,5.939117828500454
52078,FLA,2021-10-14,5.0,4.0,1.0,1.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,3.097830991493541,5.5843162335222605
52079,NYR,2021-10-14,2.0,3.0,-1.0,-1.0,-0.13475389942780536,-0.04250242655308395,-0.048224579752505936,-0.11834373338635562,-0.005468692977439701,-0.09845208269882805,-0.036301816728977275,0.0,5.878048780487805,1.0,4.754238426452499,2.698756647761911
52080,CAR,2021-10-14,6.0,3.0,3.0,3.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,4.719470741227278,2.930163945886303
52081,CBJ,2021-10-14,8.0,2.0,6.0,6.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,3.246441008406689,4.972891515935771
52082,DET,2021-10-14,6.0,7.0,-1.0,-1.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,3.370363467140128,3.8932953053154047
52083,LAK,2021-10-14,6.0,2.0,4.0,4.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,4.3628245779545995,1.994866471970454
52084,NJD,2021-10-15,4.0,3.0,1.0,1.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,3.240911643719302,3.984723122906875
52085,PHI,2021-10-15,4.0,4.0,0.0,0.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,2.5504893242614317,3.3787057783920305
52086,ANA,2021-10-15,1.0,2.0,-1.0,-1.0,-0.167029511794482,-0.1521962877478431,0.006367367184440022,-0.11834373338635562,-0.07008690125213471,-0.12353137527036345,-0.04349813652411852,0.0,5.853658536585366,1.0,2.6578185291728,3.225639718235473
52087,BUF,2021-10-16,1.0,1.0,0.0,0.0,-0.11564701047622769,0.004816122713651453,0.015525577083838456,-0.11834373338635562,-0.03443492278867022,-0.07939396461845702,-0.03625304585777063,0.0,5.878048780487805,1.0,3.821738819126039,1.778282922110524
52088,FLA,2021-10-16,5.0,1.0,4.0,4.0,-0.11825697644375148,-0.06597474891755947,0.0024080460711567073,-0.09908374367670467,0.24546526397845375,-0.08882769444660199,-0.02942928199714947,0.0,5.853658536585366,0.975609756097561,3.134644148405646,2.8973475648090288
52089,BOS,2021-10-16,3.0,1.0,2.0,2.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,4.163316468475386,2.2408158489270114
52090,TOR,2021-10-16,3.0,1.0,2.0,2.0,-0.0975674415936119,0.16205352698699338,-0.1666683641844483,-0.0611552646364769,0.19940865078025105,-0.07410529079215576,-0.023462150801456097,0.0,5.7560975609756095,0.9512195121951219,4.6006080128718185,1.9390546005452032
52091,MTL,2021-10-16,1.0,3.0,-2.0,-2.0,-0.18489130818804847,-0.1699710999791439,-0.11432180719480543,-0.050892810935808705,0.1880922705186097,-0.14730081070052542,-0.03759049748752301,0.0,5.7073170731707314,0.975609756097561,2.0771415296476294,3.386228110059164
52092,DET,2021-10-16,3.0,1.0,2.0,2.0,-0.17444180430390657,-0.21073772372897892,0.026910135071386624,-0.11834373338635562,-0.007769990216864317,-0.1267126557448741,-0.04772914855903246,0.0,5.853658536585366,1.0,1.7389905921881998,4.089184242649932
52093,PIT,2021-10-16,5.0,2.0,3.0,3.0,-0.11892290024823765,-0.13092964711774097,-0.024755519594988874,-0.06789351211638928,-0.01724234183393549,-0.09035208440051648,-0.028570815847721136,0.0,5.7073170731707314,0.975609756097561,2.8830221026437357,1.4460505403112618
52094,WSH,2021-10-16,1.0,2.0,-1.0,-1.0,-0.1516841581578871,-0.14304254614824918,0.011202567106614821,-0.07762267201151932,-0.06279899623231616,-0.11606313399493119,-0.03562102416295587,0.0,5.853658536585366,0.975609756097561,2.0740086385048957,3.2586914222920322
52095,NSH,2021-10-16,2.0,3.0,-1.0,-1.0,-0.15391085727706874,-0.15427343480380393,-0.010962115212407392,-0.1358936810521433,-0.09793613710520281,-0.11802376550207459,-0.03588709177499411,0.0,5.878048780487805,0.975609756097561,3.5875601959996866,3.271349152666522
52096,COL,2021-10-16,3.0,5.0,-2.0,-2.0,-0.1353722502575489,-0.08778570235709263,-0.042799439260386284,-0.09365101725253347,-0.06274082227154842,-0.09732810245374274,-0.03804414780380613,0.0,5.878048780487805,0.975609756097561,3.7151337362593013,2.436740559642206
52097,SJS,2021-10-16,4.0,3.0,1.0,1.0,-0.15281377636683974,-0.1812809229305245,-0.020280630462866284,-0.11834373338635562,0.021270595025651123,-0.11397087020058555,-0.03884290616625417,0.0,6.0,1.0,3.5015190213453056,3.155864350032066
52098,EDM,2021-10-16,5.0,2.0,3.0,3.0,-0.14794837637783806,-0.10168765984548414,-0.047866839643839594,-0.07083984312064057,-0.0030666604895144144,-0.10678681567971174,-0.04116156069812631,0.0,5.878048780487805,0.975609756097561,1.9051593772601292,3.1754757320741254
52099,LAK,2021-10-16,2.0,3.0,-1.0,-1.0,-0.12887103181009635,-0.035022221833655595,0.021377384409021233,-0.11834373338635562,-0.02179026854428997,-0.09372176142591855,-0.03514927038417778,0.0,5.853658536585366,1.0,1.6810006959131025,2.507730591576542
52100,OTT,2021-10-17,3.0,2.0,1.0,1.0,-0.10982833489630588,-0.19610339284778133,-0.08156286971290189,-0.11834373338635562,0.2147380126547983,-0.08164926961988413,-0.028179065276421715,0.0,5.7560975609756095,1.0,3.0606198159512177,2.5010272121289723
52101,TOR,2021-10-18,1.0,2.0,-1.0,-1.0,-0.05925711207201566,0.3684702015944183,-0.17534609417235547,-0.013412909843111637,0.166668434928737,-0.033801256418149316,-0.025455855653866325,0.0,5.585365853658537,0.926829268292683,6.224070281488812,2.4271003338508343
52102,CGY,2021-10-18,2.0,3.0,-1.0,-1.0,-0.14234453826200824,-0.1058851113914622,-0.05129039208985027,-0.12268569596093142,-0.06492057403524994,-0.10656473025444002,-0.035779808007568185,0.0,5.853658536585366,0.975609756097561,3.0312705490505314,2.249475206015628
52103,ARI,2021-10-18,4.0,7.0,-3.0,-3.0,-0.144037814698253,-0.11773406874154896,-0.10999898176495013,-0.2155903360608773,0.030105967845445898,-0.10578697548727946,-0.0382508392109735,0.0,5.7073170731707314,1.951219512195122,4.34236600564327,4.09585569438059
52104,BUF,2021-10-19,5.0,2.0,3.0,3.0,-0.09777256187585423,0.19042580126740827,-0.07184195675836973,-0.10146066048994998,-0.1044274637935115,-0.06487227537785534,-0.03290028649799886,0.0,5.7317073170731705,0.975609756097561,3.7968595555285027,2.1083158971741773
52105,MTL,2021-10-19,0.0,5.0,-5.0,-5.0,-0.16037712083668884,-0.16806254708859866,-0.12592034790065773,-0.0123132731785566,0.11689316048606556,-0.12294926858087114,-0.03742785225581769,0.0,5.560975609756098,0.9512195121951219,2.128474987577645,2.666038471856158
52106,TBL,2021-10-19,1.0,4.0,-3.0,-3.0,-0.11488865237635848,-0.020482631602325014,-0.05691174908881388,-0.12429166139693015,-0.0210689940791706,-0.09107794865143642,-0.02381070372492203,0.0,5.585365853658537,0.926829268292683,2.2910125930793543,5.567354840110054
52107,PIT,2021-10-19,1.0,1.0,0.0,0.0,-0.13569819123857496,-0.17609077319756072,0.03538358109433026,-0.07183873951682529,-0.17019379088229844,-0.11087047452710715,-0.024827716711467784,0.0,5.634146341463415,0.9512195121951219,2.416143873240797,3.155803622794338
52108,WSH,2021-10-19,6.0,3.0,3.0,3.0,-0.15706280522697114,-0.20708357765283983,-0.030494402434966678,-0.11834373338635562,0.012156692793938096,-0.1350337599512214,-0.022029045275749674,0.0,5.7073170731707314,1.0,2.999455829150972,1.7921688990900302
