sim,team,conference,gp,wins,losses,ot_losses,points,goals_for,goals_against,goal_differential,playoffs,second_round,third_round,final,champion
1,COL,West,82,53,29,8,114,331,257,74,1,0,0,0,0
1,EDM,West,82,49,33,10,108,268,228,40,1,1,0,0,0
1,BOS,East,82,47,35,14,108,236,217,19,1,1,0,0,0
1,STL,West,82,49,33,6,104,292,243,49,1,0,0,0,0
1,NSH,West,82,44,38,15,103,281,253,28,1,1,0,0,0
1,NYI,East,82,44,38,13,101,273,238,35,1,0,0,0,0
1,NYR,East,82,46,36,7,99,259,261,-2,1,1,0,0,0
1,CAR,East,82,45,37,9,99,294,289,5,1,0,0,0,0
1,NJD,East,82,44,38,10,98,256,242,14,1,1,1,0,0
1,PHI,East,82,42,40,13,97,266,267,-1,1,0,0,0,0
1,LAK,West,82,40,42,17,97,233,235,-2,1,0,0,0,0
1,TOR,East,82,44,38,8,96,248,247,1,1,1,1,1,0
1,FLA,East,82,43,39,9,95,273,266,7,1,0,0,0,0
1,PIT,East,82,43,39,8,94,263,274,-11,0,0,0,0,0
1,DAL,West,82,43,39,8,94,252,257,-5,1,1,1,1,1
1,MIN,West,82,41,41,11,93,272,266,6,1,0,0,0,0
1,VGK,West,82,41,41,11,93,264,255,9,1,1,1,0,0
1,TBL,East,82,41,41,10,92,270,263,7,0,0,0,0,0
1,WSH,East,82,41,41,10,92,247,255,-8,0,0,0,0,0
1,MTL,East,82,38,44,16,92,238,263,-25,0,0,0,0,0
1,VAN,West,82,41,41,9,91,229,247,-18,0,0,0,0,0
1,SEA,West,82,40,42,11,91,256,278,-22,0,0,0,0,0
1,SJS,West,82,40,42,9,89,258,270,-12,0,0,0,0,0
1,UTA,West,82,39,43,11,89,274,263,11,0,0,0,0,0
1,CBJ,East,82,38,44,13,89,254,259,-5,0,0,0,0,0
1,ANA,West,82,39,43,10,88,252,261,-9,0,0,0,0,0
1,OTT,East,82,39,43,10,88,249,274,-25,0,0,0,0,0
1,DET,East,82,37,45,11,85,236,231,5,0,0,0,0,0
1,BUF,East,82,36,46,10,82,248,278,-30,0,0,0,0,0
1,CGY,West,82,33,49,14,80,233,255,-22,0,0,0,0,0
1,WPG,West,82,33,49,10,76,255,281,-26,0,0,0,0,0
1,CHI,West,82,19,63,17,55,192,279,-87,0,0,0,0,0
2,NYR,East,82,51,31,5,107,259,268,-9,1,1,1,0,0
2,CAR,East,82,50,32,7,107,302,245,57,1,1,0,0,0
2,MIN,West,82,50,32,7,107,272,239,33,1,1,0,0,0
2,NSH,West,82,47,35,11,105,281,243,38,1,1,0,0,0
2,FLA,East,82,47,35,10,104,280,268,12,1,0,0,0,0
2,PIT,East,82,46,36,10,102,274,240,34,1,1,1,1,0
2,STL,West,82,47,35,7,101,269,249,20,1,0,0,0,0
2,COL,West,82,45,37,11,101,292,270,22,1,1,1,1,1
2,PHI,East,82,47,35,5,99,264,249,15,1,0,0,0,0
2,UTA,West,82,45,37,6,96,276,272,4,1,0,0,0,0
2,TBL,East,82,44,38,8,96,272,273,-1,1,1,0,0,0
2,CBJ,East,82,43,39,10,96,271,249,22,1,0,0,0,0
2,SJS,West,82,43,39,10,96,264,257,7,1,1,1,0,0
2,WSH,East,82,40,42,16,96,267,271,-4,1,0,0,0,0
2,VAN,West,82,42,40,11,95,227,216,11,1,0,0,0,0
2,DET,East,82,41,41,10,92,244,243,1,0,0,0,0,0
2,NJD,East,82,41,41,10,92,242,238,4,0,0,0,0,0
2,DAL,West,82,41,41,8,90,274,288,-14,1,0,0,0,0
2,CGY,West,82,40,42,10,90,263,248,15,0,0,0,0,0
2,OTT,East,82,39,43,12,90,242,248,-6,0,0,0,0,0
2,VGK,West,82,38,44,12,88,292,263,29,0,0,0,0,0
2,SEA,West,82,38,44,10,86,241,260,-19,0,0,0,0,0
2,EDM,West,82,38,44,10,86,234,276,-42,0,0,0,0,0
2,BUF,East,82,37,45,12,86,251,258,-7,0,0,0,0,0
